question,option1,option2,option3,option4,answer
Tiêu chuẩn nhận biết 1 tài sản cố định?,Chắc chắn thu được lợi ích kinh tế trong tương lai từ việc sử dụng tài sản đó,Có thời gian sử dụng trên 1 năm trở lên,Nguyên giá tài sản phải được xác định một cách tin cậy và có giá trị từ 30.000.000 đồng (Ba mươi triệu đồng) trở lên.,Cả 3 đáp án trên,4
"Với công ty Vincons hoạt động ở thời điểm hiện tại, phần trích khấu hao tương ứng với nguyên giá vượt trên 1,6 tỷ đồng/xe đối với ô tô chở người từ 9 chỗ ngồi trở xuống thì:",Được tính vào chi phí được trừ khi xác định thu nhập chịu thuế,Được tính vào chi phí được trừ khi xác định thu nhập chịu thuế khi có đầy đủ hố sơ mua tài sản,Được tính vào chi phí được trừ khi xác định thu nhập chịu thuế khi có đầy đủ hố sơ mua tài sản và chứng minh tài sản được tài sản này phục vụ hoạt động kinh doanh của công ty,Không được tính vào chi phí được trừ khi xác định thu nhập chịu thuế,4
Tcode thực hiện điều chuyển tài sản?,ZFI058,ZFI051,ZFI052,ZFI053,2
Báo cáo nào thực hiện theo tần suất hàng Quý?,Báo cáo bảo lãnh,Báo cáo tiền,Báo cáo rà soát công nợ 90 ngày,Báo cáo tạm ứng,3
Tcode xuất báo cáo tổng hợp công nợ theo nhà cung cấp?,ZPPC,ZFI023A,ZFI024A,ZFI015,2
Hạch toán thanh toán khi tạm ứng tiền cho NCC trên SAP?,Nợ TK 331/ Có TK 113 => Nợ TK 113/ Có TK 112,Nợ TK 331/ Có TK 112,Nợ TK 113/ Có TK 112 => Nợ TK 141/ Có TK 113,Không đáp án nào đúng,1
"Khi kiểm tra thông tin hóa đơn, kế toán cần lưu ý gì?","Check thông tin hóa đơn phải ghi đầy đủ tên, MST, địa chỉ công ty, cần tra cứu thông tin phát hành hóa đơn, hoạt động của nhà cung cấp trên trang http://tracuuhoadon.gdt.gov.vn","Hóa đơn xuất đúng nội dung, mặt hàng theo hợp đồng, đơn hàng đã ký.","Giá trị trên hóa đơn  xuất theo đúng điều khoản hợp đồng, khối lượng hoàn thành, phù hợp với biên bản bàn giao. So sánh giá trị trên hóa đơn GTGT với giá trị trong bảng tổng hợp đề nghị thanh/ quyết toán. Giá trị hóa đơn nhà thầu xuất lũy kế không thể thấp hơn giá trị nghiệm thu đợt, quyết toán.",Cả 3 đáp án trên,4
"Khi thực hiện chuyển tiền cho nhà cung cấp, khách hàng Kế toán cần:","Khi kết xuất file thông tin chuyển tiền từ SAP cần kiểm tra chính xác: đơn vị hưởng, số tài khoản, ngân hàng trước khi đưa file lên ngân hàng. ","Ký nháy vào mục kế toán kiểm tra chứng từ và đánh dấu vào các chứng từ như BB thẩm định, BB thanh lý, BB nghiệm thu, tờ trình phê duyệt, trang điều khoản thanh toán, tiến độ thực hiện, điều khoản bảo lãnh, các trang có số liệu liên quan đến khấu trừ.... trước khi trình ký LĐ","Follow tiền thanh toán đến khi tiền cắt khỏi tài khoản, đóng dấu đã thanh toán, điền ngày thanh toán vào hồ sơ đã được thanh toán. ",Cả 3 đáp án trên,4
"Đối với các hồ sơ xây dựng có nhiều đợt thanh toán, khi kiểm tra đợt quyết toán với NCC, danh mục hồ sơ đầy đủ nhất bao gồm:","- Đề nghị thanh toán nội bộ; đề nghị thanh toán của NCC
- Bản duyệt
- Hợp đồng/ phụ lục hợp đồng
- Bảo lãnh thực hiện hợp đồng/ bảo lãnh tạm ứng
- Hóa đơn
- Bảng tổng hợp giá trị đề nghị quyết toán
- Bảng tổng hợp khối lượng hoàn thành
- Bảng diễn giải khối lượng hoàn thành
- Bảng tổng hợp khấu trừ tiện ích và các biên bản đi kèm
- Bảng tổng hợp khấu trừ chéo và các biên bản đi kèm
- Bảng thống kê giá trị phạt
- Biên bản xác nhận hết nghĩa vụ bảo hành

","- Đề nghị thanh toán nội bộ; đề nghị thanh toán của NCC
- Hợp đồng/ phụ lục hợp đồng
- Bảo lãnh thực hiện hợp đồng
- Hóa đơn
- Bảng tổng hợp giá trị đề nghị thanh toán
- Bảng tổng hợp khối lượng hoàn thành
- Bảng diễn giải khối lượng hoàn thành
- Bảng tổng hợp khấu trừ tiện ích và các biên bản đi kèm
- Bảng tổng hợp khấu trừ chéo và các biên bản đi kèm
- Bảng thống kê giá trị phạt
- Biên bản thanh lý hợp đồng. 

","C.- Đề nghị thanh toán nội bộ; đề nghị thanh toán của NCC
- Hợp đồng/ phụ lục hợp đồng
- Bảo lãnh bảo hành
- Hóa đơn
- Bảng tổng hợp giá trị đề nghị quyết toán
- Bảng tổng hợp khối lượng hoàn thành
- Bảng diễn giải khối lượng hoàn thành
- Bảng tổng hợp khấu trừ tiện ích và các biên bản đi kèm
- Bảng tổng hợp khấu trừ chéo và các biên bản đi kèm
- Bảng thống kê giá trị phạt
- Biên bản thanh lý hợp đồng. 
- Biên bản nghiệm thu hoàn thành đưa vào sử dụng.
","- Đề nghị thanh toán nội bộ; đề nghị thanh toán của NCC
- Bản duyệt
- Hợp đồng/ phụ lục hợp đồng
- Bảo lãnh tạm ứng
- Hóa đơn
- Bảng tổng hợp giá trị đề nghị quyết toán
- Bảng tổng hợp khối lượng hoàn thành
- Bảng diễn giải khối lượng hoàn thành
- Bảng tổng hợp khấu trừ tiện ích và các biên bản đi kèm
- Bảng tổng hợp khấu trừ chéo và các biên bản đi kèm
- Bảng thống kê giá trị phạt
- Biên bản xác nhận hết nghĩa vụ bảo hành

",3
Ai được quyền phê duyệt chi phí phạt do vi phạm hành chính,TGĐ Công ty Vinhomes,PTGĐ Quản lý Xây dựng Công ty Vinhomes,PTGĐ Công ty Vincons,Không có đáp án đúng,4
